Protocol,Source Address,Source Port,Destination Address,Destination Port,Packet Time,Payload Hex,Note
TCP,192.168.1.4,52492,157.240.13.9,443,2021-Nov-24 23:39:57,17:03:03:00:18:16:71:1e:1c:1a:97:5f:86:ee:b4:bd:07:13:24:d8:5b:f6:84:68:48:19:7a:78:4d
TCP,157.240.13.9,443,192.168.1.4,52492,2021-Nov-24 23:39:58,
TCP,157.240.13.9,443,192.168.1.4,52492,2021-Nov-24 23:39:58,17:03:03:00:14:e2:90:9d:c9:da:24:42:45:8c:6b:f8:27:ec:0c:39:6d:db:d1:77:03
TCP,192.168.1.4,52492,157.240.13.9,443,2021-Nov-24 23:39:58,
TCP,192.168.1.4,52445,157.240.13.9,443,2021-Nov-24 23:39:58,17:03:03:00:18:9e:09:eb:46:c2:00:73:6a:b4:66:44:fe:55:c3:49:e2:8f:95:22:6a:b1:eb:5e:43
TCP,157.240.13.9,443,192.168.1.4,52445,2021-Nov-24 23:39:59,
TCP,157.240.13.9,443,192.168.1.4,52445,2021-Nov-24 23:39:59,17:03:03:00:14:37:b1:14:45:6a:cb:da:a1:ed:b6:77:26:13:80:32:83:38:4b:96:b2
TCP,192.168.1.4,52445,157.240.13.9,443,2021-Nov-24 23:39:59,
TCP,192.168.1.4,52449,157.240.13.9,443,2021-Nov-24 23:39:59,17:03:03:00:18:8c:6b:4e:c5:21:d7:67:6d:b7:9e:99:8c:92:17:11:6a:6b:34:6f:ab:8e:75:38:63
TCP,157.240.13.9,443,192.168.1.4,52449,2021-Nov-24 23:40:00,
TCP,157.240.13.9,443,192.168.1.4,52449,2021-Nov-24 23:40:00,17:03:03:00:14:5e:f7:e6:83:af:2c:11:9e:c4:6d:f9:16:cb:cb:02:b7:2b:f5:f7:0d
TCP,192.168.1.4,52449,157.240.13.9,443,2021-Nov-24 23:40:00,
TCP,192.168.1.4,52490,157.240.13.9,443,2021-Nov-24 23:40:00,17:03:03:00:18:6f:ea:b1:d5:35:0d:f7:7d:dc:5d:92:5e:cc:4f:f3:b6:78:b1:4d:bd:09:52:5e:3a
TCP,157.240.13.9,443,192.168.1.4,52490,2021-Nov-24 23:40:01,
TCP,157.240.13.9,443,192.168.1.4,52490,2021-Nov-24 23:40:01,17:03:03:00:14:a6:89:e2:86:d8:8e:df:d6:b1:c1:35:14:9d:fb:24:37:a9:cb:52:a6
TCP,192.168.1.4,52490,157.240.13.9,443,2021-Nov-24 23:40:01,
TCP,192.168.1.4,52487,157.240.13.9,443,2021-Nov-24 23:40:01,17:03:03:00:18:21:73:1c:ed:23:75:c4:95:88:67:2a:98:31:e1:5d:21:47:77:10:88:bd:ef:09:0a
TCP,157.240.13.9,443,192.168.1.4,52487,2021-Nov-24 23:40:02,
TCP,157.240.13.9,443,192.168.1.4,52487,2021-Nov-24 23:40:02,17:03:03:00:14:9b:5c:1b:14:76:92:21:7a:8d:1e:c4:2b:c8:cd:a3:63:5d:68:65:04
TCP,192.168.1.4,52487,157.240.13.9,443,2021-Nov-24 23:40:02,
TCP,192.168.1.4,52552,40.77.226.250,443,2021-Nov-24 23:40:03,
TCP,40.77.226.250,443,192.168.1.4,52552,2021-Nov-24 23:40:03,
TCP,192.168.1.4,52552,40.77.226.250,443,2021-Nov-24 23:40:03,
TCP,192.168.1.4,52552,40.77.226.250,443,2021-Nov-24 23:40:03,16:03:01:02:00:01:00:01:fc:03:03:91:ba:ed:fb:39:8e:6c:a1:72:19:85:38:b5:55:18:2e:88:a3:78:50:d0:d9:f6:5f:ae:e4:4b:2d:94:ff:dd:23:20:6b:37:00:00:df:a3:16:a0:46:ca:b3:75:27:a0:14:38:9a:a8:54:63:80:bd:a8:9e:89:7b:5d:57:89:a7:7d:01:00:24:13:03:13:01:13:02:c0:2f:c0:2b:c0:30:c0:2c:cc:a9:cc:a8:c0:09:c0:13:c0:0a:c0:14:00:9c:00:9d:00:2f:00:35:00:0a:01:00:01:8f:00:00:00:1e:00:1c:00:00:19:76:6f:72:74:65:78:2e:64:61:74:61:2e:6d:69:63:72:6f:73:6f:66:74:2e:63:6f:6d:00:17:00:00:ff:01:00:01:00:00:0a:00:08:00:06:00:1d:00:17:00:18:00:0b:00:02:01:00:00:23:00:00:00:0d:00:14:00:12:04:03:08:04:04:01:05:03:08:05:05:01:08:06:06:01:02:01:00:33:00:26:00:24:00:1d:00:20:8d:68:aa:3e:83:0d:ed:ed:09:7f:c4:68:de:89:3e:17:5a:57:84:f0:98:55:64:35:1d:a7:47:f7:ee:0f:6e:2f:00:2d:00:02:01:01:00:2b:00:05:04:03:04:03:03:00:15:00:f9:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00
